psx_offset,duckstation_va,byte_length,type,description,tags,notes
9CA4C,8009CA4C,4,4 Bytes,Yuffie's EXP to Next Level,"party,rewards",
9CA50,8009CA50,1,Byte,CaitSith's Character ID,party,
9CA51,8009CA51,1,Byte,CaitSith's Level,party,
9CA52,8009CA52,1,Byte,CaitSith's Strength,party,
9CA53,8009CA53,1,Byte,CaitSith's Vitality,party,
9CA54,8009CA54,1,Byte,CaitSith's Magic,party,
9CA55,8009CA55,1,Byte,CaitSith's Spirit,party,
9CA56,8009CA56,1,Byte,CaitSith's Dexterity,party,
9CA57,8009CA57,1,Byte,CaitSith's Luck,party,
9CA58,8009CA58,1,Byte,CaitSith's Strength Bonus,party,
9CA59,8009CA59,1,Byte,CaitSith's Vitality Bonus,party,
9CA5A,8009CA5A,1,Byte,CaitSith's Magic Bonus,party,
9CA5B,8009CA5B,1,Byte,CaitSith's Spirit Bonus,party,
9CA5C,8009CA5C,1,Byte,CaitSith's Dexterity Bonus,party,
9CA5D,8009CA5D,1,Byte,CaitSith's Luck Bonus,party,
9CA5E,8009CA5E,1,Byte,CaitSith's Current Limit Level (1-4),party,
9CA5F,8009CA5F,1,Byte,CaitSith's Current Limit Bar,"battle,party",
9CA60,8009CA60,12,Array of byte,CaitSith's Character Name,party,
9CA6C,8009CA6C,1,Byte,CaitSith's Equipped Weapon,"equipment,party",
9CA6D,8009CA6D,1,Byte,CaitSith's Equipped Armor,"equipment,party",
9CA6E,8009CA6E,1,Byte,CaitSith's Equipped Accessory,"equipment,party",
9CA6F,8009CA6F,1,Byte,"CaitSith's Status Flags (Sadness, Fury)","party,status",
9CA70,8009CA70,1,Byte,CaitSith's Row,party,
9CA71,8009CA71,1,Byte,CaitSith's Level Progress Bar (0-63),party,
9CA72,8009CA72,2,2 Bytes,CaitSith's Learned Limits,party,
9CA74,8009CA74,2,2 Bytes,CaitSith's Kill Count,party,
9CA76,8009CA76,2,2 Bytes,CaitSith's Dice Usages,party,
9CA78,8009CA78,2,2 Bytes,CaitSith's Slots Usages,party,
9CA7A,8009CA7A,2,2 Bytes,CaitSith's 3-1 Limit Usages,party,
9CA7C,8009CA7C,2,2 Bytes,CaitSith's Current HP,party,
9CA7E,8009CA7E,2,2 Bytes,CaitSith's Base HP,party,
9CA80,8009CA80,2,2 Bytes,CaitSith's Current MP,party,
9CA82,8009CA82,2,2 Bytes,CaitSith's Base MP,party,
9CA84,8009CA84,4,4 Bytes,CaitSith Unknown,party,
9CA88,8009CA88,2,2 Bytes,CaitSith's Maximum HP,party,
9CA8A,8009CA8A,2,2 Bytes,CaitSith's Maximum MP,party,
9CA8C,8009CA8C,4,4 Bytes,CaitSith's Current EXP,"party,rewards",
9CA90,8009CA90,4,4 Bytes,CaitSith's Weapon Materia Slot 1,"equipment,party",
9CA94,8009CA94,4,4 Bytes,CaitSith's Weapon Materia Slot 2,"equipment,party",
9CA98,8009CA98,4,4 Bytes,CaitSith's Weapon Materia Slot 3,"equipment,party",
9CA9C,8009CA9C,4,4 Bytes,CaitSith's Weapon Materia Slot 4,"equipment,party",
9CAA0,8009CAA0,4,4 Bytes,CaitSith's Weapon Materia Slot 5,"equipment,party",
9CAA4,8009CAA4,4,4 Bytes,CaitSith's Weapon Materia Slot 6,"equipment,party",
9CAA8,8009CAA8,4,4 Bytes,CaitSith's Weapon Materia Slot 7,"equipment,party",
9CAAC,8009CAAC,4,4 Bytes,CaitSith's Weapon Materia Slot 8,"equipment,party",
9CAB0,8009CAB0,4,4 Bytes,CaitSith's Armor Materia Slot 1,"equipment,party",
9CAB4,8009CAB4,4,4 Bytes,CaitSith's Armor Materia Slot 2,"equipment,party",
9CAB8,8009CAB8,4,4 Bytes,CaitSith's Armor Materia Slot 3,"equipment,party",
9CABC,8009CABC,4,4 Bytes,CaitSith's Armor Materia Slot 4,"equipment,party",
9CAC0,8009CAC0,4,4 Bytes,CaitSith's Armor Materia Slot 5,"equipment,party",
9CAC4,8009CAC4,4,4 Bytes,CaitSith's Armor Materia Slot 6,"equipment,party",
9CAC8,8009CAC8,4,4 Bytes,CaitSith's Armor Materia Slot 7,"equipment,party",
9CACC,8009CACC,4,4 Bytes,CaitSith's Armor Materia Slot 8,"equipment,party",
9CAD0,8009CAD0,4,4 Bytes,CaitSith's EXP to Next Level,"party,rewards",
9CAD4,8009CAD4,1,Byte,Vincent's Character ID,party,
9CAD5,8009CAD5,1,Byte,Vincent's Level,party,
9CAD6,8009CAD6,1,Byte,Vincent's Strength,party,
9CAD7,8009CAD7,1,Byte,Vincent's Vitality,party,
9CAD8,8009CAD8,1,Byte,Vincent's Magic,party,
9CAD9,8009CAD9,1,Byte,Vincent's Spirit,party,
9CADA,8009CADA,1,Byte,Vincent's Dexterity,party,
9CADB,8009CADB,1,Byte,Vincent's Luck,party,
9CADC,8009CADC,1,Byte,Vincent's Strength Bonus,party,
9CADD,8009CADD,1,Byte,Vincent's Vitality Bonus,party,
9CADE,8009CADE,1,Byte,Vincent's Magic Bonus,party,
9CADF,8009CADF,1,Byte,Vincent's Spirit Bonus,party,
9CAE0,8009CAE0,1,Byte,Vincent's Dexterity Bonus,party,
9CAE1,8009CAE1,1,Byte,Vincent's Luck Bonus,party,
9CAE2,8009CAE2,1,Byte,Vincent's Current Limit Level (1-4),party,
9CAE3,8009CAE3,1,Byte,Vincent's Current Limit Bar,"battle,party",
9CAE4,8009CAE4,12,Array of byte,Vincent's Character Name,party,
9CAF0,8009CAF0,1,Byte,Vincent's Equipped Weapon,"equipment,party",
9CAF1,8009CAF1,1,Byte,Vincent's Equipped Armor,"equipment,party",
9CAF2,8009CAF2,1,Byte,Vincent's Equipped Accessory,"equipment,party",
9CAF3,8009CAF3,1,Byte,"Vincent's Status Flags (Sadness, Fury)","party,status",
9CAF4,8009CAF4,1,Byte,Vincent's Row,party,
9CAF5,8009CAF5,1,Byte,Vincent's Level Progress Bar (0-63),party,
9CAF6,8009CAF6,2,2 Bytes,Vincent's Learned Limits,party,
9CAF8,8009CAF8,2,2 Bytes,Vincent's Kill Count,party,
9CAFA,8009CAFA,2,2 Bytes,Vincent's Galian Beast Usages,party,
9CAFC,8009CAFC,2,2 Bytes,Vincent's Death Gigas Usages,"party,status",
9CAFE,8009CAFE,2,2 Bytes,Vincent's Hellmasker Usages,party,
9CB00,8009CB00,2,2 Bytes,Vincent's Current HP,party,
9CB02,8009CB02,2,2 Bytes,Vincent's Base HP,party,
9CB04,8009CB04,2,2 Bytes,Vincent's Current MP,party,
9CB06,8009CB06,2,2 Bytes,Vincent's Base MP,party,
9CB08,8009CB08,4,4 Bytes,Vincent Unknown,party,
9CB0C,8009CB0C,2,2 Bytes,Vincent's Maximum HP,party,
9CB0E,8009CB0E,2,2 Bytes,Vincent's Maximum MP,party,
9CB10,8009CB10,4,4 Bytes,Vincent's Current EXP,"party,rewards",
9CB14,8009CB14,4,4 Bytes,Vincent's Weapon Materia Slot 1,"equipment,party",
9CB18,8009CB18,4,4 Bytes,Vincent's Weapon Materia Slot 2,"equipment,party",
9CB1C,8009CB1C,4,4 Bytes,Vincent's Weapon Materia Slot 3,"equipment,party",
9CB20,8009CB20,4,4 Bytes,Vincent's Weapon Materia Slot 4,"equipment,party",
9CB24,8009CB24,4,4 Bytes,Vincent's Weapon Materia Slot 5,"equipment,party",
9CB28,8009CB28,4,4 Bytes,Vincent's Weapon Materia Slot 6,"equipment,party",
9CB2C,8009CB2C,4,4 Bytes,Vincent's Weapon Materia Slot 7,"equipment,party",
9CB30,8009CB30,4,4 Bytes,Vincent's Weapon Materia Slot 8,"equipment,party",
9CB34,8009CB34,4,4 Bytes,Vincent's Armor Materia Slot 1,"equipment,party",
9CB38,8009CB38,4,4 Bytes,Vincent's Armor Materia Slot 2,"equipment,party",
9CB3C,8009CB3C,4,4 Bytes,Vincent's Armor Materia Slot 3,"equipment,party",
9CB40,8009CB40,4,4 Bytes,Vincent's Armor Materia Slot 4,"equipment,party",
9CB44,8009CB44,4,4 Bytes,Vincent's Armor Materia Slot 5,"equipment,party",
9CB48,8009CB48,4,4 Bytes,Vincent's Armor Materia Slot 6,"equipment,party",
9CB4C,8009CB4C,4,4 Bytes,Vincent's Armor Materia Slot 7,"equipment,party",
9CB50,8009CB50,4,4 Bytes,Vincent's Armor Materia Slot 8,"equipment,party",
9CB54,8009CB54,4,4 Bytes,Vincent's EXP to Next Level,"party,rewards",
9CB58,8009CB58,1,Byte,Cid's Character ID,party,
9CB59,8009CB59,1,Byte,Cid's Level,party,
9CB5A,8009CB5A,1,Byte,Cid's Strength,party,
9CB5B,8009CB5B,1,Byte,Cid's Vitality,party,
9CB5C,8009CB5C,1,Byte,Cid's Magic,party,
9CB5D,8009CB5D,1,Byte,Cid's Spirit,party,
9CB5E,8009CB5E,1,Byte,Cid's Dexterity,party,
9CB5F,8009CB5F,1,Byte,Cid's Luck,party,
9CB60,8009CB60,1,Byte,Cid's Strength Bonus,party,
9CB61,8009CB61,1,Byte,Cid's Vitality Bonus,party,
9CB62,8009CB62,1,Byte,Cid's Magic Bonus,party,
9CB63,8009CB63,1,Byte,Cid's Spirit Bonus,party,
9CB64,8009CB64,1,Byte,Cid's Dexterity Bonus,party,
9CB65,8009CB65,1,Byte,Cid's Luck Bonus,party,
9CB66,8009CB66,1,Byte,Cid's Current Limit Level (1-4),party,
9CB67,8009CB67,1,Byte,Cid's Current Limit Bar,"battle,party",
9CB68,8009CB68,12,Array of byte,Cid's Character Name,party,
9CB74,8009CB74,1,Byte,Cid's Equipped Weapon,"equipment,party",
9CB75,8009CB75,1,Byte,Cid's Equipped Armor,"equipment,party",
9CB76,8009CB76,1,Byte,Cid's Equipped Accessory,"equipment,party",
9CB77,8009CB77,1,Byte,"Cid's Status Flags (Sadness, Fury)","party,status",
9CB78,8009CB78,1,Byte,Cid's Row,party,
9CB79,8009CB79,1,Byte,Cid's Level Progress Bar (0-63),party,
9CB7A,8009CB7A,2,2 Bytes,Cid's Learned Limits,party,
9CB7C,8009CB7C,2,2 Bytes,Cid's Kill Count,party,
9CB7E,8009CB7E,2,2 Bytes,Cid's Boost Jump Usages,party,
9CB80,8009CB80,2,2 Bytes,Cid's Hyper Jump Usages,party,
9CB82,8009CB82,2,2 Bytes,Cid's Dragon Dive Usages,party,
9CB84,8009CB84,2,2 Bytes,Cid's Current HP,party,
9CB86,8009CB86,2,2 Bytes,Cid's Base HP,party,
9CB88,8009CB88,2,2 Bytes,Cid's Current MP,party,
9CB8A,8009CB8A,2,2 Bytes,Cid's Base MP,party,
9CB8C,8009CB8C,4,4 Bytes,Cid Unknown,party,
9CB90,8009CB90,2,2 Bytes,Cid's Maximum HP,party,
9CB92,8009CB92,2,2 Bytes,Cid's Maximum MP,party,
9CB94,8009CB94,4,4 Bytes,Cid's Current EXP,"party,rewards",
9CB98,8009CB98,4,4 Bytes,Cid's Weapon Materia Slot 1,"equipment,party",
9CB9C,8009CB9C,4,4 Bytes,Cid's Weapon Materia Slot 2,"equipment,party",
9CBA0,8009CBA0,4,4 Bytes,Cid's Weapon Materia Slot 3,"equipment,party",
9CBA4,8009CBA4,4,4 Bytes,Cid's Weapon Materia Slot 4,"equipment,party",
9CBA8,8009CBA8,4,4 Bytes,Cid's Weapon Materia Slot 5,"equipment,party",
9CBAC,8009CBAC,4,4 Bytes,Cid's Weapon Materia Slot 6,"equipment,party",
9CBB0,8009CBB0,4,4 Bytes,Cid's Weapon Materia Slot 7,"equipment,party",
9CBB4,8009CBB4,4,4 Bytes,Cid's Weapon Materia Slot 8,"equipment,party",
9CBB8,8009CBB8,4,4 Bytes,Cid's Armor Materia Slot 1,"equipment,party",
9CBBC,8009CBBC,4,4 Bytes,Cid's Armor Materia Slot 2,"equipment,party",
9CBC0,8009CBC0,4,4 Bytes,Cid's Armor Materia Slot 3,"equipment,party",
9CBC4,8009CBC4,4,4 Bytes,Cid's Armor Materia Slot 4,"equipment,party",
9CBC8,8009CBC8,4,4 Bytes,Cid's Armor Materia Slot 5,"equipment,party",
9CBCC,8009CBCC,4,4 Bytes,Cid's Armor Materia Slot 6,"equipment,party",
9CBD0,8009CBD0,4,4 Bytes,Cid's Armor Materia Slot 7,"equipment,party",
9CBD4,8009CBD4,4,4 Bytes,Cid's Armor Materia Slot 8,"equipment,party",
9CBD8,8009CBD8,4,4 Bytes,Cid's EXP to Next Level,"party,rewards",
9CBDC,8009CBDC,1,Byte,Party Slot 1,party,
9CBDD,8009CBDD,1,Byte,Party Slot 2,party,
9CBDE,8009CBDE,1,Byte,Party Slot 3,party,
9CBE0,8009CBE0,640,Array of byte,"Inventory (320 slots, 2 bytes per slot)",,
9CE60,8009CE60,800,Array of byte,"Materia Inventory (200 slots, 4 bytes per slot)",equipment,
9D180,8009D180,160,Array of byte,Yuffie's Stolen Materia (48 slots),"equipment,party",
9D260,8009D260,4,4 Bytes,Gil,rewards,
9D264,8009D264,4,4 Bytes,In-Game Time (Seconds),,"IGT seconds, fraction of second at 9D26C"
9D268,8009D268,4,4 Bytes,Countdown Timer (Seconds),,"Countdown seconds, fractions probably at 9D26E or 9D270 (check)"
9D26C,8009D26C,2,2 Bytes,IGT Fraction Of Second,,Add 0x444 (1092) per 60fps frame
9D278,8009D278,2,2 Bytes,Current Module (updated on menu),menu,
9D27A,8009D27A,2,2 Bytes,Current Location (updated on menu),menu,
9D27E,8009D27E,2,2 Bytes,Field X (updated on menu),"field,menu",
9D280,8009D280,2,2 Bytes,Field Y (updated on menu),"field,menu",
9D288,8009D288,2,2 Bytes,Game Moment,,"$GameMoment, sequence, story"
9D288,8009D288,256,Array of byte,Var[1],,Var[2] appears to be the same memory region
9D28B,8009D28B,1,Byte,Aeris's Affection Rating,party,$AerisLovePoints
9D28C,8009D28C,1,Byte,Tifas Affection Rating,party,$TifaLovePoints
9D28D,8009D28D,1,Byte,Yuffies Affection Rating,party,$YuffieLovePoints
9D28E,8009D28E,1,Byte,Barrets Affection Rating,party,$BarretLovePoints
9D29C,8009D29C,1,Byte,Timer Hours,,"$Hours, read-only"
9D29D,8009D29D,1,Byte,Timer Minutes,,"$Minutes, read-only"
9D29E,8009D29E,1,Byte,Timer Seconds,,"$Seconds, read-only"
9D29F,8009D29F,1,Byte,Timer Frames,,"$Frames, read-only"
9D2A0,8009D2A0,2,2 Bytes,Battle Count,battle,$BattleCount
9D2A2,8009D2A2,2,2 Bytes,Battle Escapes,battle,$BattleEscaped
9D2A6,8009D2A6,2,2 Bytes,Menu Locking Mask,menu,(0=Item 9=Save)
9D2C8,8009D2C8,7,Array of byte,Key Items,,$KeyItems
9D2D8,8009D2D8,1,Byte,Aeris's Battle Affection Rating (dummied out),"battle,party",$AerisBattleLovePoints
9D2D9,8009D2D9,1,Byte,Tifas Battle Affection Rating (dummied out),"battle,party",$TifaBattleLovePoints
9D2DA,8009D2DA,1,Byte,Yuffies Battle Affection Rating (dummied out),"battle,party",$YuffieBattleLovePoints
9D2DB,8009D2DB,1,Byte,Barrets Battle Affection Rating (dummied out),"battle,party",$BarretBattleLovePoints
9D2DD,8009D2DD,1,Byte,"'Penned' Chocobo 1 (1 = Wonderful, 8 = Terrible)",chocobo,$ChocoboType1Catched
9D2DE,8009D2DE,1,Byte,"'Penned' Chocobo 2 (1 = Wonderful, 8 = Terrible)",chocobo,$ChocoboType2Catched
9D2DF,8009D2DF,1,Byte,"'Penned' Chocobo 3 (1 = Wonderful, 8 = Terrible)",chocobo,$ChocoboType3Catched
9D2E0,8009D2E0,1,Byte,"'Penned' Chocobo 4 (1 = Wonderful, 8 = Terrible)",chocobo,$ChocoboType4Catched
9D2E2,8009D2E2,4,4 Bytes,Ultimate Weapon HP,equipment,"Reversed-endian order of bytes, most significant (earliest in memory) is ignored apparently"
9D2F8,8009D2F8,4,4 Bytes,Current Battle Square Game BP,battle,
9D303,8009D303,1,Byte,WEAPON = 5,equipment,
9D304,8009D304,1,Byte,$ChocoboOnMap,chocobo,$ChocoboOnMap
9D305,8009D305,1,Byte,1 if a chocobo stable has been purchased,chocobo,Lets you do chocobo races
9D324,8009D324,1,Byte,$VictoryFortCondor,"battle,battle-end",$VictoryFortCondor
9D33C,8009D33C,1,Byte,$GoldFortCondor,,$GoldFortCondor
9D33E,8009D33E,1,Byte,$DefeatFortCondor,,$DefeatFortCondor
9D372,8009D372,1,Byte,Bone Village Prize,,
9D388,8009D388,256,Array of byte,Var[3],,Var[4] appears to be the same memory region
9D391,8009D391,1,Byte,$PartyLeader,party,$PartyLeader
9D3D2,8009D3D2,2,2 Bytes,GP,,
9D3D8,8009D3D8,2,2 Bytes,BP,,
9D3E0,8009D3E0,1,Byte,$NumStablesBought,,$NumStablesBought
9D3E1,8009D3E1,1,Byte,$NumStablesFilled,,$NumStablesFilled
9D3E5,8009D3E5,2,2 Bytes,Stable 1 - Battle Count Difference,battle,
9D3EC,8009D3EC,2,2 Bytes,Stable 2 - Battle Count Difference,battle,
9D3EE,8009D3EE,2,2 Bytes,Stable 3 - Battle Count Difference,battle,
9D3F0,8009D3F0,2,2 Bytes,Stable 4 - Battle Count Difference,battle,
9D3F2,8009D3F2,2,2 Bytes,Stable 5 - Battle Count Difference,battle,
9D3F4,8009D3F4,2,2 Bytes,Stable 6 - Battle Count Difference,battle,
9D407,8009D407,2,2 Bytes,Winding Tunnel Screen,,
9D45F,8009D45F,1,Byte,Bit mask Sector 7 items,,
9D488,8009D488,256,Array of byte,Var[11],,Var[12] appears to be the same memory region.
9D49E,8009D49E,1,Byte,Teioh,chocobo,1 if Teioh will be in the next chocobo race
9D4A4,8009D4A4,2,2 Bytes,Can't Mate Flag LSB = stable 1,,
9D4A8,8009D4A8,2,2 Bytes,Stable 1 - Dash,,
9D4AA,8009D4AA,2,2 Bytes,Stable 1 - MDash,,
9D4AC,8009D4AC,2,2 Bytes,Stable 1 - Run,,
9D4AE,8009D4AE,2,2 Bytes,Stable 1 - MRun,,
9D4B0,8009D4B0,1,Byte,Stable 1 - Acceleration,,
9D4B1,8009D4B1,1,Byte,Stable 1 - Coop,,
9D4B2,8009D4B2,1,Byte,Stable 1 - Intelligence,,
9D4B3,8009D4B3,1,Byte,Stable 1 - Personality,,
9D4B4,8009D4B4,1,Byte,Stable 1 - Pcount,,
9D4B5,8009D4B5,1,Byte,Stable 1 - # Races Won,,
9D4B6,8009D4B6,1,Byte,"Stable 1 - Sex (0 = M, 1 = F)",,
9D4B7,8009D4B7,1,Byte,"Stable 1 - Colour (0 = Yellow, 4 = Gold)",,
9D4B8,8009D4B8,2,2 Bytes,Stable 2 - Dash,,
9D4BA,8009D4BA,2,2 Bytes,Stable 2 - MDash,,
9D4BC,8009D4BC,2,2 Bytes,Stable 2 - Run,,
9D4BE,8009D4BE,2,2 Bytes,Stable 2 - MRun,,
9D4C0,8009D4C0,1,Byte,Stable 2 - Acceleration,,
9D4C1,8009D4C1,1,Byte,Stable 2 - Coop,,
9D4C2,8009D4C2,1,Byte,Stable 2 - Intelligence,,
9D4C3,8009D4C3,1,Byte,Stable 2 - Personality,,
9D4C4,8009D4C4,1,Byte,Stable 2 - Pcount,,
9D4C5,8009D4C5,1,Byte,Stable 2 - # Races Won,,
9D4C6,8009D4C6,1,Byte,"Stable 2 - Sex (0 = M, 1 = F)",,
9D4C7,8009D4C7,1,Byte,"Stable 2 - Colour (0 = Yellow, 4 = Gold)",,
9D4C8,8009D4C8,2,2 Bytes,Stable 3 - Dash,,
9D4CA,8009D4CA,2,2 Bytes,Stable 3 - MDash,,
9D4CC,8009D4CC,2,2 Bytes,Stable 3 - Run,,
9D4CE,8009D4CE,2,2 Bytes,Stable 3 - MRun,,
9D4D0,8009D4D0,1,Byte,Stable 3 - Acceleration,,
9D4D1,8009D4D1,1,Byte,Stable 3 - Coop,,
9D4D2,8009D4D2,1,Byte,Stable 3 - Intelligence,,
9D4D3,8009D4D3,1,Byte,Stable 3 - Personality,,
9D4D4,8009D4D4,1,Byte,Stable 3 - Pcount,,
9D4D5,8009D4D5,1,Byte,Stable 3 - # Races Won,,
9D4D6,8009D4D6,1,Byte,"Stable 3 - Sex (0 = M, 1 = F)",,
9D4D7,8009D4D7,1,Byte,"Stable 3 - Colour (0 = Yellow, 4 = Gold)",,
9D4D8,8009D4D8,2,2 Bytes,Stable 4 - Dash,,
9D4DA,8009D4DA,2,2 Bytes,Stable 4 - MDash,,
9D4DC,8009D4DC,2,2 Bytes,Stable 4 - Run,,
9D4DE,8009D4DE,2,2 Bytes,Stable 4 - MRun,,
9D4E0,8009D4E0,2,2 Bytes,Stable 4 - Acceleration,,
9D4E1,8009D4E1,1,Byte,Stable 4 - Coop,,
9D4E2,8009D4E2,1,Byte,Stable 4 - Intelligence,,
9D4E3,8009D4E3,1,Byte,Stable 4 - Personality,,
9D4E4,8009D4E4,1,Byte,Stable 4 - Pcount,,
9D4E5,8009D4E5,1,Byte,Stable 4 - # Races Won,,
9D4E6,8009D4E6,1,Byte,"Stable 4 - Sex (0 = M, 1 = F)",,
9D4E7,8009D4E7,1,Byte,"Stable 4 - Colour (0 = Yellow, 4 = Gold)",,
9D522,8009D522,1,Byte,"Stable 1 - Type (1 = Wonderful, 8 = Terrible)",,
9D523,8009D523,1,Byte,"Stable 2 - Type (1 = Wonderful, 8 = Terrible)",,
9D524,8009D524,1,Byte,"Stable 3 - Type (1 = Wonderful, 8 = Terrible)",,
9D525,8009D525,1,Byte,"Stable 4 - Type (1 = Wonderful, 8 = Terrible)",,
9D526,8009D526,1,Byte,"Stable 5 - Type (1 = Wonderful, 8 = Terrible)",,
9D527,8009D527,1,Byte,"Stable 6 - Type (1 = Wonderful, 8 = Terrible)",,
9D588,8009D588,256,Array of byte,Var[13] / Current Disc,,"Var[14] appears to be the same memory region. Var[13][0] is current disc number (1, 2, or 3), and is what is checked to ensure the correct disc is in."
9D58E,8009D58E,2,2 Bytes,Great Glacier Step Counter,,
9D5A7,8009D5A7,1,Byte,Materia Error Flag,equipment,$ErrorAddMateria
9D5CC,8009D5CC,2,2 Bytes,Stable 1 - Stamina,,
9D5CE,8009D5CE,2,2 Bytes,Stable 2 - Stamina,,
9D5D0,8009D5D0,2,2 Bytes,Stable 3 - Stamina,,
9D5D2,8009D5D2,2,2 Bytes,Stable 4 - Stamina,,
9D5D4,8009D5D4,2,2 Bytes,Stable 5 - Stamina,,
9D5D6,8009D5D6,2,2 Bytes,Stable 6 - Stamina,,
9D5DC,8009D5DC,1,Byte,North Crater Cloud path,party,$LastCloud
9D5DD,8009D5DD,1,Byte,North Crater Barret Path,party,$LastBarret
9D5DE,8009D5DE,1,Byte,North Crater Tifa path,party,$LastTifa
9D5DF,8009D5DF,1,Byte,North Crater Red XII path?,,$LastRedXIII
9D5E0,8009D5E0,1,Byte,North Crater Cid Path,party,$LastCid
9D5E1,8009D5E1,1,Byte,North Crater Yuffie Path,party,$LastYuffie
9D5E2,8009D5E2,1,Byte,North Crater Cait Sith Path,party,$LastCaitSith
9D5E4,8009D5E4,1,Byte,North Crater Vincent,party,$LastVincent
9D60D,8009D60D,1,Byte,Some Tutorials,"world,menu",0x08 = world map save tutorial
9D63C,8009D63C,2,2 Bytes,World Map Last Encounter Formation,"battle,field,world",
9D640,8009D640,4,4 Bytes,World Map Saved Position X,"world,menu",
9D644,8009D644,4,4 Bytes,World Map Saved Position Y,"world,menu",
9D688,8009D688,1,Byte,$GaiinItemFlags,,$GaiinItemFlags
9D688,8009D688,256,Array of byte,Var[7],,"Var[15] appears to be the same memory region. Var[8], [9], and [10] crash if you try to write to them."
9D6DF,8009D6DF,1,Byte,Kalm Traveller Rewards,rewards,
9D70A,8009D70A,1,Byte,[15] [130] Deactivate Rnd Enc if 1,,
9D768,8009D768,2,2 Bytes,Stable 5 - Dash,,
9D76A,8009D76A,2,2 Bytes,Stable 5 - MDash,,
9D76C,8009D76C,2,2 Bytes,Stable 5 - Run,,
9D76E,8009D76E,2,2 Bytes,Stable 5 - MRun,,
9D770,8009D770,1,Byte,Stable 5 - Acceleration,,
9D771,8009D771,1,Byte,Stable 5 - Coop,,
9D772,8009D772,1,Byte,Stable 5 - Intelligence,,
9D773,8009D773,1,Byte,Stable 5 - Personality,,
9D774,8009D774,1,Byte,Stable 5 - Pcount,,
9D775,8009D775,1,Byte,Stable 5 - # Races Won,,
9D776,8009D776,1,Byte,"Stable 5 - Sex (0 = M, 1 = F)",,
9D777,8009D777,1,Byte,"Stable 5 - Colour (0 = Yellow, 4 = Gold)",,
9D778,8009D778,2,2 Bytes,Stable 6 - Dash,,
9D77A,8009D77A,2,2 Bytes,Stable 6 - MDash,,
9D77C,8009D77C,2,2 Bytes,Stable 6 - Run,,
9D77E,8009D77E,2,2 Bytes,Stable 6 - MRun,,
9D780,8009D780,1,Byte,Stable 6 - Acceleration,,
9D781,8009D781,1,Byte,Stable 6 - Coop,,
9D782,8009D782,1,Byte,Stable 6 - Intelligence,,
9D783,8009D783,1,Byte,Stable 6 - Personality,,
9D784,8009D784,1,Byte,Stable 6 - Pcount,,
9D785,8009D785,1,Byte,Stable 6 - # Races Won,,
9D786,8009D786,1,Byte,"Stable 6 - Sex (0 = M, 1 = F)",,
9D787,8009D787,1,Byte,"Stable 6 - Colour (0 = Yellow, 4 = Gold)",,
9D852,8009D852,1,Byte,Player 1 Dexterity (might need to verify these),,
9D853,8009D853,1,Byte,Player 1 Luck,,
9D854,8009D854,1,Byte,Player 1 Attack,,
9D856,8009D856,1,Byte,Player 1 Defense,,
9D858,8009D858,1,Byte,Player 1 Magic atk,,
9D85A,8009D85A,1,Byte,Player 1 Magic def,,
9DC5C,8009DC5C,1,Byte,Player 1 Attack%,,
9DC92,8009DC92,1,Byte,Player 2 Dexterity,,
9DC93,8009DC93,1,Byte,Player 2 Luck,,
9DC94,8009DC94,1,Byte,Player 2 Attack,,
9DC96,8009DC96,1,Byte,Player 2 Defense,,
9DC98,8009DC98,1,Byte,Player 2 Magic atk,,
9DC9A,8009DC9A,1,Byte,Player 2 Magic def,,
9E09C,8009E09C,1,Byte,Player 2 Attack%,,
9E0D2,8009E0D2,1,Byte,Player 3 Dexterity,,
9E0D3,8009E0D3,1,Byte,Player 3 Luck,,
9E0D4,8009E0D4,1,Byte,Player 3 Attack,,
9E0D6,8009E0D6,1,Byte,Player 3 Defense,,
9E0D8,8009E0D8,1,Byte,Player 3 Magic atk,,
9E0DA,8009E0DA,1,Byte,Player 3 Magic def,,
9E4DC,8009E4DC,1,Byte,Player 3 Attack%,,
B7470,800B7470,1,Byte,Chocobo race prize column,chocobo,
B7474,800B7474,1,Byte,Chocobo race prize row,chocobo,
B7634,800B7634,2,2 Bytes,Chocobo race: Racer 1 Current Stamina,chocobo,
B763C,800B763C,1,Byte,Chocobo race: Racer 1 Finishing Place,chocobo,
B7654,800B7654,7,Array of byte,Chocobo race: Racer 1 Chocobo Name,chocobo,
B76E0,800B76E0,7,Array of byte,Chocobo race: Racer 2 Finishing Place,chocobo,
B76F8,800B76F8,7,Array of byte,Chocobo race: Racer 2 Chocobo Name,chocobo,
B7784,800B7784,7,Array of byte,Chocobo race: Racer 3 Finishing Place,chocobo,
B779C,800B779C,7,Array of byte,Chocobo race: Racer 3 Chocobo Name,chocobo,
B7828,800B7828,7,Array of byte,Chocobo race: Racer 4 Finishing Place,chocobo,
B7840,800B7840,7,Array of byte,Chocobo race: Racer 4 Chocobo Name,chocobo,
B78CC,800B78CC,7,Array of byte,Chocobo race: Racer 5 Finishing Place,chocobo,
B78E4,800B78E4,7,Array of byte,Chocobo race: Racer 5 Chocobo Name,chocobo,
B7970,800B7970,7,Array of byte,Chocobo race: Racer 6 Finishing Place,chocobo,
B7988,800B7988,7,Array of byte,Chocobo race: Racer 6 Chocobo Name,chocobo,
C84C8,800C84C8,2,2 Bytes,World Map Controller Inputs,"world,input",
